,Data do Anúncio,Ano,Trimestre,Data do Anúncio.1,Empresa alvo do investimento,Empresa(s) investidora(s),Real (em milhões),Dólar (em milhões),Valor Informado,Município,Região,Descrição do investimento,CNAE Empresa alvo do investimento,CNAE Empresa(s) investidora(s),Tipo Investimento,Período,Setor,Real,Dólar,FaixaValor,FaixaValorNome,SetorNome,RegiãoNro,klusterK3D,klusterBD3D
2328,2015-01-22,2015,1,2015-01-22,Covabra Supermercados,Covabra Supermercados,14.0,5.32,Sim,Itatiba,RA Campinas,Reforma e expansão de supermercado no bairro Centro,"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados","4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",Ampliação/Modernização,2015 - 2015,1,14000000.0,5320000.0,5,G,Comércio,5,3,12
2329,2015-03-19,2015,1,2015-03-19,Rota das Bandeiras,Concessionária Rota das Bandeiras S.A,1.6,0.51,Sim,Itatiba,RA Campinas,"Construção de passarela na rodovia Engenheiro Constâncio Cintra SP-360 no Km 77,68","5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados","5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados",Implantação,2015 - 2015,5,1600000.0,510000.0,3,M,Infraestrutura,5,0,2
2330,2015-05-03,2015,1,2015-05-03,SKY,SKY Brasil Serviços,1300.0,414.12,Sim,Jaguariúna,RA Campinas,Construção de centro de transmissão da operadora de TV por assinatura via satélite,6143-4 - Operadoras de televisão por assinatura por satélite,6143-4 - Operadoras de televisão por assinatura por satélite,Implantação,2015 - 2016,7,1300000000.0,414120000.0,7,GG,Serviços,5,1,16
2331,2015-09-03,2015,1,2015-09-03,Vinícola Salton,Vinícola Salton,17.5,5.57,Sim,Jarinu,RA Campinas,Instalação de fabrica de bebidas.,1112-7 - Fabricação de vinho,1112-7 - Fabricação de vinho,Implantação,2013 - 2015,3,17500000.0,5570000.0,5,G,Indústria,5,3,7
2332,2015-03-22,2015,1,2015-03-22,Próturbo,Próturbo Usinagem de Precisão,1.1,0.35,Sim,Jundiaí,RA Campinas,Compra de máquina para usinagem de precisão,"2539-0 - Serviços de usinagem, solda, tratamento e revestimento em metais",2941-7 - Fabricação de peças e acessórios para o sistema motor de veículos automotores,Modernização,2014 - 2015,7,1100000.0,350000.0,3,M,Serviços,5,0,4
2333,2015-01-22,2015,1,2015-01-22,Covabra Supermercados,Covabra Supermercados,4.58,1.74,Sim,Jundiaí,RA Campinas,Instalação de supermercado no bairro Malota,"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados","4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",Implantação,2015 - 2015,1,4580000.0,1740000.0,3,M,Comércio,5,2,0
2334,2015-02-24,2015,1,2015-02-24,Mundo Verde,Om Saint Germain Comércio de Produtos Naturais,0.28,0.1,Sim,Jundiaí,RA Campinas,Instalação de centro de distribuição - CD para as lojas de produtos orgânicos e naturais.,4729-6 - Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo,4729-6 - Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo,Implantação,2014 - 2015,1,280000.0,100000.0,1,P,Comércio,5,2,13
2335,2015-12-03,2015,1,2015-12-03,Maxi Shopping,Condomínio Maxi Shopping Jundiaí,0.5,0.16,Sim,Jundiaí,RA Campinas,Troca de lâmpadas convencionais por modelos de LED no shopping,6822-6 - Gestão e administração da propriedade imobiliária,8112-5 - Condomínios prediais,Modernização,2014 - 2015,7,500000.0,160000.0,1,P,Serviços,5,0,14
2336,2015-01-01,2015,1,2015-01-01,Serviço Social do Comércio - Sesc,Serviço Social do Comércio - Sesc,20.0,7.59,Sim,Jundiaí,RA Campinas,"Inauguração do centro educacional, cultural e desportivo na Av. Antônio Frederico Ozanan",8599-6 - Atividades de ensino não especificadas anteriormente,8800-6 - Serviços de assistência social sem alojamento,Implantação,2015 - 2015,7,20000000.0,7590000.0,5,G,Serviços,5,1,15
2337,2015-02-13,2015,1,2015-02-13,CPFL Mococa,Companhia  Luz e Força de Mococa,4.0,1.42,Sim,Mococa,RA Campinas,Construção de subestação de energia elétrica,3514-0 - Distribuição de energia elétrica,3514-0 - Distribuição de energia elétrica,Ampliação,2015 - 2015,5,4000000.0,1420000.0,3,M,Infraestrutura,5,0,2
2338,2015-01-14,2015,1,2015-01-14,Microquimica,Microquimica Indústrias Químicas,0.5,0.19,Sim,Monte Mor,RA Campinas,Ampliação da  fabrica de inoculantes,2013-4 - Fabricação de adubos e fertilizantes,2013-4 - Fabricação de adubos e fertilizantes,Ampliação,2014 - 2014,3,500000.0,190000.0,1,P,Indústria,5,2,33
2339,2015-02-02,2015,1,2015-02-02,Companhia de Desenvolvimento de Nova Odessa - Coden,Companhia de Desenvolvimento de Nova Odessa - Coden,7.2,2.56,Sim,Nova Odessa,RA Campinas,Construção de represa e uma estação de tratamento de água - ETA,"3600-6 - Captação, tratamento e distribuição de água","3600-6 - Captação, tratamento e distribuição de água",Ampliação,2015 - 2016,5,7200000.0,2560000.0,3,M,Infraestrutura,5,0,2
2340,2015-02-03,2015,1,2015-02-03,Rota das Bandeiras,Concessionária Rota das Bandeiras S.A,4.8,1.53,Sim,Paulínia,RA Campinas,"Construção de três passarelas na rodovia Prof. Zeferino Vaz (SP-332) nos km 121,131 e 132.","5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados",6462-0 - Holdings de instituições não-financeiras,Implantação,2012 - 2015,5,4800000.0,1530000.0,3,M,Infraestrutura,5,0,2
2341,2015-02-01,2015,1,2015-02-01,Raízen Energia,Raízen Energia,7.0,2.66,Sim,Piracicaba,RA Campinas,"Instalação de usina de produção de biocombustível de etanol celulósico 2G, junto a usina Costa Pinto.",1931-4 - Fabricação de álcool,1071-6 - Fabricação de açúcar em bruto,Implantação,2012 - 2015,9,7000000.0,2660000.0,3,M,Outros,5,0,39
2342,2015-03-03,2015,1,2015-03-03,Caterpillar,Caterpillar Brasil,53.37,17.0,Sim,Piracicaba,RA Campinas,"Implantação da produção dos modelos, da escavadeira 318D2 e do trator D6K2 na fabrica de tratores.","2853-4 - Fabricação de tratores, exceto agrícolas",2949-2 - Fabricação de peças e acessórios para veículos automotores não especificados anteriormente,Ampliação,2015 - 2016,3,53370000.0,17000000.0,5,G,Indústria,5,3,7
2343,2015-03-23,2015,1,2015-03-23,Case IH,CNH Indústria Latin America,0.11,0.04,Sim,Piracicaba,RA Campinas,Construção de estação de tratamento de efluente - ETE e compra de equipamentos,"2854-2 - Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores","2854-2 - Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores",Ampliação,2014 - 2015,3,110000.0,40000.0,1,P,Indústria,5,2,33
